spkid,H,diameter,e,a,q,i,ad,albedo,spec_B,main_class
20000470,10.06,27.75,0.0959,2.405,2.174,7.23,2.64,0.148,S,S-type
20000471,6.33,148.128,0.2291,2.889,2.227,15.02,3.55,0.164,S,S-type
20000477,10.27,22.988,0.1875,2.416,1.963,5.29,2.87,0.246,S,S-type
20000478,7.96,80.738,0.0807,3.018,2.774,13.18,3.26,0.174,L,S-type
20000481,8.83,101.829,0.1575,2.739,2.308,9.85,3.17,0.032,Ch,C-type
20000484,9.69,30.06,0.0571,2.668,2.516,12.51,2.82,0.222,S,S-type
20000485,8.28,63.88,0.1894,2.75,2.229,13.87,3.27,0.2072,S,S-type
20000490,8.7,118.803,0.0889,3.174,2.892,9.29,3.46,0.059,Ch,C-type
20000494,9.32,100.786,0.0643,2.986,2.794,7.08,3.18,0.065,Ch,C-type
20000496,11.77,14.403,0.0786,2.199,2.026,3.79,2.37,0.193,S,S-type
20000503,9.32,81.68,0.1732,2.724,2.253,5.01,3.2,0.0585,Ch,C-type
20000509,8.44,51.892,0.098,3.063,2.762,15.41,3.36,0.253,S,S-type
20000512,10.8,23.09,0.2544,2.189,1.632,8.75,2.75,0.1772,S,S-type
20000513,9.52,48.805,0.086,3.014,2.755,9.73,3.27,0.089,K,S-type
20000519,9.16,40.078,0.1829,2.79,2.28,11.01,3.3,0.246,S,S-type
20000521,8.62,107.227,0.2785,2.744,1.98,10.58,3.51,0.073,Ch,C-type
20000532,5.92,167.791,0.1799,2.77,2.272,16.3,3.27,0.285,S,S-type
20000533,9.86,30.819,0.0439,2.978,2.847,6.56,3.11,0.252,S,S-type
20000534,9.69,32.333,0.0604,2.886,2.711,3.28,3.06,0.213,Sq,S-type
20000539,10.24,68.356,0.2137,2.737,2.152,6.8,3.32,0.052,Ch,C-type
20000553,12.42,9.01,0.1102,2.231,1.985,5.39,2.48,0.287,S,S-type
20000554,9.3,95.87,0.1525,2.374,2.012,2.94,2.74,0.0496,Ch,C-type
20000556,9.53,36.279,0.1044,2.465,2.208,5.25,2.72,0.201,S,S-type
20000563,8.43,53.29,0.2366,2.711,2.07,10.25,3.35,0.2477,Sl,S-type
20000571,11.8,11.696,0.243,2.41,1.825,5.23,3.0,0.298,S,S-type
20000579,8.04,85.57,0.0765,3.013,2.782,11.02,3.24,0.1748,K,S-type
20000584,8.49,54.01,0.2333,2.374,1.82,10.72,2.93,0.1987,Sl,S-type
20000586,9.54,95.203,0.0651,3.041,2.843,1.63,3.24,0.04,Ch,C-type
20000592,9.7,43.787,0.1348,3.02,2.613,10.18,3.43,0.155,K,S-type
20000597,9.37,36.06,0.1437,2.673,2.289,12.8,3.06,0.2361,S,S-type
20000599,8.73,70.249,0.293,2.771,1.959,16.72,3.58,0.115,K,S-type
